department,priority,activeComplaints,resolutionDays,escalated,areaComplaints
Roads & Transport,high,15,8,1,22
Roads & Transport,medium,8,4,0,10
Roads & Transport,low,5,3,0,4
Water Supply,urgent,10,6,1,12
Water Supply,high,6,4,0,8
Water Supply,medium,4,3,0,3
Waste Management,low,2,1,0,1
Waste Management,medium,5,2,0,4
Electricity,high,4,2,0,3
Electricity,urgent,9,5,1,11
Drainage,urgent,12,7,1,14
Drainage,high,7,4,0,6
Drainage,medium,3,2,0,2
Public Health,low,3,2,0,2
Public Health,medium,6,4,0,5
Roads & Transport,urgent,18,10,1,28
Roads & Transport,high,12,6,1,16
Water Supply,low,1,2,0,1
Waste Management,high,8,3,0,7
Electricity,medium,3,2,0,2
Drainage,low,2,3,0,2
Roads & Transport,medium,4,2,0,3
Roads & Transport,low,2,1,0,1
Water Supply,high,9,5,0,10
Water Supply,medium,6,3,0,5
Waste Management,low,3,2,0,2
Waste Management,high,7,4,1,9
Electricity,low,2,1,0,1
Electricity,urgent,14,8,1,18
Drainage,high,8,5,1,9
Drainage,medium,5,3,0,4
Public Health,high,5,3,0,4
Public Health,urgent,10,6,1,9
Roads & Transport,high,14,7,1,20
Roads & Transport,medium,10,5,0,12
Water Supply,urgent,11,7,1,15
Water Supply,high,8,4,0,9
Waste Management,medium,4,2,0,3
Waste Management,low,1,1,0,1
Electricity,high,6,3,0,5
Electricity,urgent,8,4,0,9
Drainage,urgent,15,9,1,25
Drainage,high,11,5,1,12
Drainage,medium,4,2,0,3
Public Health,low,2,2,0,1
Public Health,medium,5,3,0,4
Roads & Transport,urgent,20,12,1,32
Roads & Transport,high,11,6,0,15
Water Supply,low,3,3,0,2
Waste Management,high,6,3,0,6
Electricity,medium,5,2,0,4
Drainage,low,4,4,0,3
Roads & Transport,medium,6,3,0,5
Roads & Transport,low,3,2,0,2
Water Supply,high,10,6,1,12
Water Supply,medium,5,3,0,4
Waste Management,low,2,2,0,1
Waste Management,high,9,5,1,11
Electricity,low,1,1,0,1
Electricity,urgent,11,6,1,14
Drainage,high,9,4,0,8
Drainage,medium,6,3,0,5
Public Health,high,7,4,0,6
Public Health,urgent,8,5,1,7
Roads & Transport,high,16,9,1,24
Roads & Transport,medium,9,4,0,11
Water Supply,urgent,12,8,1,17
Water Supply,high,7,4,0,7
Waste Management,medium,6,3,0,5
Waste Management,low,2,1,0,1
Electricity,high,8,4,0,7
Electricity,urgent,10,5,1,12
Drainage,urgent,13,8,1,20
Drainage,high,10,5,0,10
Drainage,medium,5,3,0,4
Public Health,low,4,3,0,3
Public Health,medium,7,4,1,8
Roads & Transport,urgent,17,11,1,26
Roads & Transport,high,13,7,1,19
Water Supply,low,2,2,0,1
Waste Management,high,5,3,0,5
Electricity,medium,4,2,0,3
Drainage,low,3,3,0,2
Roads & Transport,medium,7,4,0,6
Roads & Transport,low,4,2,0,3
Water Supply,high,8,5,0,8
Water Supply,medium,7,4,0,6
Waste Management,low,4,3,0,3
Waste Management,high,8,4,0,8
Electricity,low,3,2,0,2
Electricity,urgent,12,7,1,15
Drainage,high,7,4,0,7
Drainage,medium,7,4,0,5
Public Health,high,6,3,0,5
Public Health,urgent,9,6,1,8
Roads & Transport,high,15,8,1,21
Roads & Transport,medium,8,4,0,9
Water Supply,urgent,13,7,1,16
Water Supply,high,9,5,0,10
Waste Management,medium,5,2,0,4
Waste Management,low,3,2,0,2
Electricity,high,7,3,0,6
Electricity,urgent,13,7,1,16
Drainage,urgent,14,8,1,22
Drainage,high,8,4,0,8
Drainage,medium,6,3,0,4
Public Health,low,3,2,0,2
Public Health,medium,8,5,1,10
